1979	224.96
1980	235.02
1981	63.56
1982	281.68
1983	203.30
1984	209.02
1985	222.94
1986	268.13
1987	294.08
1988	330.39
1989	425.59
1990	461.95
1991	602.86
1992	400.59
1993	437.79
1994	558.11
1995	769.30
1996	850.42
1997	883.20
1998	863.72
1999	599.38
2000	655.42
2001	559.37
2002	507.96
2003	558.32
2004	669.31
2005	891.63
2006	1108.00
2007	1397.00
2008	1696.00
2009	1667.00
2010	2209.00
2011	2616.00
2012	2465.00
2013	2473.00
2014	2456.00
2015	1802.00
2016	1796.00
2017	2063.00
2018	1885.00
2019	1840.00
